human.symbol	rat.symbol	mouse.symbol	human.go.annotation	mouse.go.annotation	rat.go.annotation
FBXO45	Fbxo45	Fbxo45		postsynaptic density; synapse; synapse assembly involved in innervation	
FGF12	Fgf12	Fgf12		synaptic transmission	
FGF14	Fgf14	Fgf14		synaptic transmission	
FGFR2	Fgfr2	Fgfr2		synaptic vesicle transport; excitatory synapse	
FNTA	Fnta	Fnta		neurotransmitter receptor metabolic process	
FSHR	Fshr	Fshr		regulation of acetylcholine metabolic process	
FZD3	Fzd3	Fzd3		presynaptic active zone	
GABBR1	Gabbr1	Gabbr1		presynaptic membrane; postsynaptic membrane	synaptic vesicle; negative regulation of synaptic transmission
GABRG1	Gabrg1	Gabrg1		synaptic transmission	
GABRG2	Gabrg2	Gabrg2		synaptic transmission	synaptic transmission, GABAergic; inhibitory synapse
GAD1	Gad1	Gad1		synapse; presynaptic active zone	
GAD2	Gad2	Gad2		synapse	synaptic vesicle membrane
GAP43	Gap43	Gap43		postsynaptic density; neuronal postsynaptic density	
GFAP	Gfap	Gfap		regulation of neurotransmitter uptake; long-term synaptic potentiation	
GHRH	Ghrh	Ghrh		terminal bouton	
GHRL	Ghrl	Ghrl	positive regulation of synapse assembly	positive regulation of synapse assembly; regulation of excitatory postsynaptic membrane potential	
GHSR	Ghsr	Ghsr		regulation of synapse assembly	
GIPC1	Gipc1	Gipc1		synaptic transmission; synaptic vesicle; regulation of synaptic plasticity	
GJA10	Gja10	Gja10		synapse assembly	
GJC1	Gjc1	Gjc1		synaptic transmission	
GJD2	Gjd2	Gjd2		synaptic transmission	
GLRA1	Glra1	Glra1		synaptic transmission; postsynaptic membrane; synaptic transmission, glycinergic; inhibitory synapse; regulation of inhibitory postsynaptic membrane potential	synaptic transmission, glycinergic
GLRB	Glrb	Glrb	synaptic transmission	synaptic transmission, glycinergic	synaptic transmission, glycinergic
GLS	Gls	Gls		synaptic transmission	
GNG3	Gng3	Gng3		neuronal postsynaptic density	
GNPAT	Gnpat	Gnpat		synapse assembly	
GOPC		Gopc		synapse	synaptic vesicle membrane
GPHN	Gphn	Gphn		inhibitory synapse; glycine receptor clustering	synapse assembly; synapse; inhibitory synapse
GPM6B		Gpm6b		negative regulation of serotonin uptake	synaptic vesicle membrane
GPR139	Gpr139	Gpr139		synaptic transmission; neuropeptide receptor activity	
GRIA1	Gria1	Gria1		synaptic transmission; synaptic vesicle; postsynaptic density; synapse; postsynaptic membrane; long term synaptic depression	postsynaptic density; neuromuscular junction; asymmetric synapse; synapse; synapse; regulation of synaptic plasticity; regulation of synaptic transmission; positive regulation of synaptic transmission; excitatory synapse
GRIA2	Gria2	Gria2		synaptic transmission; synaptic vesicle; synapse; postsynaptic membrane	synaptic transmission; postsynaptic density; synaptic vesicle membrane; asymmetric synapse; presynaptic membrane; terminal bouton; synapse; positive regulation of synaptic transmission; regulation of synaptic transmission, glutamatergic
GRIA3	Gria3	Gria3		postsynaptic membrane	postsynaptic density; asymmetric synapse; synaptic cleft; terminal bouton
GRIA4	Gria4	Gria4		synapse	synaptic transmission; postsynaptic density; terminal bouton; synapse; regulation of synaptic transmission; positive regulation of synaptic transmission, glutamatergic
GRID2	Grid2	Grid2		synaptic transmission, glutamatergic; synapse; postsynaptic membrane; regulation of excitatory postsynaptic membrane potential	postsynaptic density; postsynaptic membrane
GRID2IP	Grid2ip	Grid2ip		synapse; long term synaptic depression	
GRIK1	Grik1	Grik1		postsynaptic density; positive regulation of synaptic transmission, GABAergic; synaptic transmission, glutamatergic; synaptic transmission, glutamatergic; presynaptic membrane; synapse; negative regulation of synaptic transmission, glutamatergic; regulation of excitatory postsynaptic membrane potential; regulation of excitatory postsynaptic membrane potential; regulation of inhibitory postsynaptic membrane potential; regulation of inhibitory postsynaptic membrane potential; neuronal postsynaptic density	negative regulation of synaptic transmission, GABAergic; positive regulation of synaptic transmission, GABAergic; terminal bouton; regulation of short-term neuronal synaptic plasticity; negative regulation of synaptic transmission, glutamatergic
GRIK2	Grik2	Grik2	regulation of short-term neuronal synaptic plasticity; regulation of synaptic transmission; positive regulation of synaptic transmission	synaptic transmission; synaptic transmission; postsynaptic density; synaptic transmission, glutamatergic; presynaptic membrane; synapse; postsynaptic membrane; regulation of long-term neuronal synaptic plasticity; regulation of short-term neuronal synaptic plasticity; negative regulation of synaptic transmission, glutamatergic; regulation of excitatory postsynaptic membrane potential; regulation of excitatory postsynaptic membrane potential; regulation of inhibitory postsynaptic membrane potential; regulation of inhibitory postsynaptic membrane potential	synaptic transmission; terminal bouton; synapse; negative regulation of synaptic transmission, glutamatergic
GRIK4	Grik4	Grik4		presynaptic membrane; synapse; postsynaptic membrane	terminal bouton
GRIK5	Grik5	Grik5		regulation of synaptic vesicle fusion to presynaptic membrane; synaptic transmission, glutamatergic; presynaptic membrane; postsynaptic membrane; regulation of excitatory postsynaptic membrane potential	synaptic transmission; postsynaptic density; terminal bouton
GRIN1	Grin1	Grin1		synaptic vesicle; postsynaptic density; synaptic transmission, glutamatergic; synapse; postsynaptic membrane; regulation of synaptic plasticity; regulation of neuronal synaptic plasticity; regulation of long-term neuronal synaptic plasticity; regulation of synapse assembly; regulation of excitatory postsynaptic membrane potential; regulation of excitatory postsynaptic membrane potential; neuronal postsynaptic density	postsynaptic density; synaptic cleft; terminal bouton; synapse; excitatory synapse; positive regulation of excitatory postsynaptic membrane potential
GRIN2A	Grin2a	Grin2a		synaptic transmission; synaptic vesicle; postsynaptic density; presynaptic membrane; synapse; postsynaptic membrane; regulation of synaptic plasticity; regulation of synaptic transmission; regulation of postsynaptic membrane potential; regulation of excitatory postsynaptic membrane potential; regulation of excitatory postsynaptic membrane potential; neuronal postsynaptic density	synaptic transmission; postsynaptic density; presynaptic membrane; terminal bouton; regulation of long-term neuronal synaptic plasticity; regulation of excitatory postsynaptic membrane potential; positive regulation of excitatory postsynaptic membrane potential
GRIN2B	Grin2b	Grin2b		synaptic transmission; synaptic vesicle; postsynaptic density; presynaptic membrane; synapse; postsynaptic membrane; regulation of synaptic plasticity; regulation of postsynaptic membrane potential; regulation of excitatory postsynaptic membrane potential; regulation of excitatory postsynaptic membrane potential; neuronal postsynaptic density	postsynaptic density; presynaptic membrane; synaptic cleft; terminal bouton; synapse; regulation of long-term neuronal synaptic plasticity; positive regulation of synaptic transmission
GRIN2C	Grin2c	Grin2c		postsynaptic density; regulation of excitatory postsynaptic membrane potential; regulation of excitatory postsynaptic membrane potential	
GRIN2D	Grin2d	Grin2d		synapse; regulation of excitatory postsynaptic membrane potential	synaptic transmission, glutamatergic
GRIN3A	Grin3a	Grin3a	synapse	postsynaptic membrane	postsynaptic membrane
GRM1	Grm1	Grm1		postsynaptic density	synaptic transmission; postsynaptic density; presynaptic membrane; regulation of synaptic transmission, glutamatergic
GRM2	Grm2	Grm2		synaptic transmission	presynaptic membrane
GRM3	Grm3	Grm3		postsynaptic density; presynaptic membrane; postsynaptic membrane	regulation of synaptic transmission
GRM4	Grm4	Grm4		synaptic transmission	terminal bouton; presynaptic active zone membrane
GRM5	Grm5	Grm5		regulation of long-term neuronal synaptic plasticity	synaptic transmission; postsynaptic density; positive regulation of long-term neuronal synaptic plasticity
GRM7	Grm7	Grm7	synaptic transmission	synaptic transmission; presynaptic membrane	asymmetric synapse; presynaptic membrane; terminal bouton; synapse; postsynaptic membrane; presynaptic active zone
GSG1L	Gsg1l	Gsg1l		asymmetric synapse	
GSK3B	Gsk3b	Gsk3b		neuronal postsynaptic density	regulation of neuronal synaptic plasticity
HDAC4	Hdac4	Hdac4		neuromuscular junction	
HOMER1	Homer1	Homer1		neuronal postsynaptic density	synapse; excitatory synapse; neuronal postsynaptic density
